family,lookback,hold,signal,outcome,outcome_column,candidate_signals,incomplete_trades,overlap_skipped,drop_reasons,testable,mean,t,p,n,g,median,positive_rate,stock_fell_rate,underperformed_spy_rate,ci_low,ci_high,holm_p,bh_p,discovered_rule
persistence,3mo,90d,sell_or_strong_sell,raw_short,raw_short_return,218,6,0,"{""incomplete_horizon"": 6}",True,-0.11114550313361185,-5.297098684714662,0.0002,212,165,-0.07853953095086907,0.30660377358490565,0.30660377358490565,0.4716981132075472,-0.14628844472597397,-0.07841041285502737,0.009600000000000001,0.0048000000000000004,True
persistence,3mo,180d,sell_or_strong_sell,raw_short,raw_short_return,218,15,11,"{""incomplete_horizon"": 15}",True,-0.15052430326643595,-5.566481777558507,0.0002,192,159,-0.127876992442437,0.3229166666666667,0.3229166666666667,0.453125,-0.19823026009636063,-0.10606814876159971,0.009600000000000001,0.0048000000000000004,True
persistence,3mo,90d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,218,6,0,"{""incomplete_horizon"": 6}",True,-0.052517236403223096,-2.5753922498895787,0.0054,212,165,-0.011930946749621363,0.4716981132075472,0.30660377358490565,0.4716981132075472,-0.08769085263352261,-0.021346681589004077,0.2484,0.08639999999999999,False
persistence,3mo,30d,sell_or_strong_sell,raw_short,raw_short_return,218,1,0,"{""incomplete_horizon"": 1}",True,-0.03900173352271961,-1.8289899015891464,0.0088,217,165,-0.021672463482858007,0.41935483870967744,0.41935483870967744,0.5253456221198156,-0.07814660885922105,-0.010402101433335061,0.396,0.1056,False
persistence,6mo,180d,sell_or_strong_sell,raw_short,raw_short_return,58,6,0,"{""incomplete_horizon"": 6}",True,-0.17073644390187415,-2.324231687794371,0.018,52,49,-0.16288283624461442,0.34615384615384615,0.34615384615384615,0.38461538461538464,-0.2992543971961703,-0.059752756111025235,0.7919999999999999,0.17279999999999998,False
persistence,3mo,180d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,218,15,11,"{""incomplete_horizon"": 15}",True,-0.05904767093005802,-2.2293068882612364,0.03,192,159,-0.034520955135189824,0.453125,0.3229166666666667,0.453125,-0.10382899522699161,-0.015742915897206708,1.0,0.23725714285714286,False
persistence,3mo,180d,strong_sell_only,raw_short,raw_short_return,55,3,4,"{""incomplete_horizon"": 3}",True,-0.151310505739741,-2.2120531614289605,0.0346,48,47,-0.17133587267355865,0.3125,0.3125,0.3958333333333333,-0.2626820235667857,-0.038798695441396636,1.0,0.23725714285714286,False
persistence,3mo,90d,strong_sell_only,raw_short,raw_short_return,55,2,0,"{""incomplete_horizon"": 2}",True,-0.1189582905364063,-1.7013486478207724,0.0982,53,48,-0.022244691607684386,0.4716981132075472,0.4716981132075472,0.4716981132075472,-0.2306754305175249,-0.008804524116069811,1.0,0.5892,False
persistence,6mo,90d,sell_or_strong_sell,raw_short,raw_short_return,58,4,0,"{""incomplete_horizon"": 4}",True,-0.06626409443795875,-1.6023480309781004,0.1194,54,51,-0.03159414175885755,0.46296296296296297,0.46296296296296297,0.5,-0.13133987927325175,-0.0009764489607411665,1.0,0.6368,False
persistence,3mo,30d,strong_sell_only,raw_short,raw_short_return,55,0,0,{},True,-0.09884768652890025,-1.2218940023779232,0.1766,55,50,-0.0315533980582523,0.43636363636363634,0.43636363636363634,0.5272727272727272,-0.2522191443884106,0.002913484000674791,1.0,0.8476800000000001,False
