family,lookback,hold,signal,outcome,outcome_column,candidate_signals,incomplete_trades,overlap_skipped,drop_reasons,testable,mean,t,p,n,g,median,positive_rate,stock_fell_rate,underperformed_spy_rate,ci_low,ci_high,holm_p,bh_p,discovered_rule
transition,,30d,sell_or_strong_sell,raw_short,raw_short_return,3263,15,1300,"{""incomplete_horizon"": 14, ""no_next_session"": 1}",True,-0.020500450850658686,-8.798387952897034,0.0002,1948,486,-0.02041361967548272,0.3891170431211499,0.3891170431211499,0.5025667351129364,-0.02420664021180841,-0.01658655488224342,0.0024000000000000002,0.00048000000000000007,True
transition,,90d,sell_or_strong_sell,raw_short,raw_short_return,3263,65,1892,"{""incomplete_horizon"": 63, ""missing_benchmark_price"": 1, ""no_next_session"": 1}",True,-0.07159745509366854,-12.304101360458974,0.0002,1306,482,-0.06214271459374976,0.31852986217457885,0.31852986217457885,0.49387442572741197,-0.08129063292978464,-0.06298063685245489,0.0024000000000000002,0.00048000000000000007,True
transition,,180d,sell_or_strong_sell,raw_short,raw_short_return,3263,177,2159,"{""incomplete_horizon"": 172, ""missing_benchmark_price"": 4, ""no_next_session"": 1}",True,-0.14731167482197752,-13.378547608520376,0.0002,927,468,-0.12664411301676437,0.24487594390507011,0.24487594390507011,0.48975188781014023,-0.1664001510135539,-0.12944543685753665,0.0024000000000000002,0.00048000000000000007,True
transition,,90d,strong_sell_only,raw_short,raw_short_return,912,10,498,"{""incomplete_horizon"": 10}",True,-0.07805745889065828,-5.225588185610194,0.0002,404,207,-0.06441060843222357,0.37623762376237624,0.37623762376237624,0.4777227722772277,-0.10310573260048533,-0.05328625129635916,0.0024000000000000002,0.00048000000000000007,True
transition,,180d,strong_sell_only,raw_short,raw_short_return,912,38,569,"{""incomplete_horizon"": 36, ""missing_benchmark_price"": 2}",True,-0.1598674377345946,-6.717599734189397,0.0002,305,199,-0.13578916176582978,0.32459016393442625,0.32459016393442625,0.46229508196721314,-0.19774140153125516,-0.12177929920828297,0.0024000000000000002,0.00048000000000000007,True
transition,,180d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,3263,177,2159,"{""incomplete_horizon"": 172, ""missing_benchmark_price"": 4, ""no_next_session"": 1}",True,-0.025977699678191937,-2.4492193649952188,0.0098,927,468,-0.00237086783506113,0.48975188781014023,0.24487594390507011,0.48975188781014023,-0.04414807160349943,-0.009052048589345798,0.0686,0.018857142857142857,False
transition,,30d,strong_sell_only,raw_short,raw_short_return,912,1,331,"{""incomplete_horizon"": 1}",True,-0.015285601475377806,-2.5135348782597093,0.011,580,212,-0.016301358732160764,0.4362068965517241,0.4362068965517241,0.5103448275862069,-0.02523034707171936,-0.004942594992069562,0.0686,0.018857142857142857,False
transition,,90d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,3263,65,1892,"{""incomplete_horizon"": 63, ""missing_benchmark_price"": 1, ""no_next_session"": 1}",True,-0.012482391315967184,-2.249503148848128,0.022,1306,482,-0.0012723384459223386,0.49387442572741197,0.31852986217457885,0.49387442572741197,-0.02165468817565041,-0.0041549430574526775,0.10999999999999999,0.033,False
transition,,180d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,912,38,569,"{""incomplete_horizon"": 36, ""missing_benchmark_price"": 2}",True,-0.05018652788998803,-2.184511703866621,0.0274,305,199,-0.013058749152109028,0.46229508196721314,0.32459016393442625,0.46229508196721314,-0.08687842050197815,-0.01338001033433954,0.10999999999999999,0.036533333333333334,False
transition,,90d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,912,10,498,"{""incomplete_horizon"": 10}",True,-0.022070276255849213,-1.5055697735656408,0.1332,404,207,-0.005178923430735782,0.4777227722772277,0.37623762376237624,0.4777227722772277,-0.04683103144514704,0.001987118165704519,0.39960000000000007,0.15984000000000004,False
transition,,30d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,3263,15,1300,"{""incomplete_horizon"": 14, ""no_next_session"": 1}",True,-0.0013742624273194357,-0.650512751667623,0.5054,1948,486,0.00028174649929046947,0.5025667351129364,0.3891170431211499,0.5025667351129364,-0.004920006347859692,0.002080053421602187,1.0,0.5513454545454546,False
transition,,30d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,912,1,331,"{""incomplete_horizon"": 1}",True,0.001405848262508338,0.24063144791399899,0.8096,580,212,0.0014754944643465273,0.5103448275862069,0.4362068965517241,0.5103448275862069,-0.008162834251970638,0.011114802947916093,1.0,0.8096,False
