lookback,hold,floor,dip_tolerance,testable,mean,t,p,n,g,mean_ret,median_ret,mean_spy_ret,win_rate_vs_spy,win_rate_absolute,ret_ci_low,ret_ci_high,bhar_ci_low,bhar_ci_high,holm_p,bh_p,discovered_rule
3mo,6mo,bullish_plus,0pct_strict,True,0.07164762910139229,5.929000730697893,0.0002,588,360,0.16989047940118565,0.10841768396996421,0.09824285029979332,0.5901360544217688,0.8316326530612245,0.15075545164913806,0.1894485635171797,0.05255230535725308,0.0914561868843489,0.0056,0.0009333333333333333,True
3mo,6mo,bullish_plus,1pct_dip,True,0.07164762910139229,5.929000730697893,0.0002,588,360,0.16989047940118565,0.10841768396996421,0.09824285029979332,0.5901360544217688,0.8316326530612245,0.15075545164913806,0.1894485635171797,0.05255230535725308,0.0914561868843489,0.0056,0.0009333333333333333,True
3mo,18mo,bullish_plus,1pct_dip,True,0.1618652920547041,3.2649124567628087,0.0002,284,221,0.4624227227185338,0.32282475289368573,0.30055743066382967,0.5492957746478874,0.8626760563380281,0.3859025319899818,0.547933851396348,0.08493333002107328,0.24840820763318333,0.0056,0.0009333333333333333,True
3mo,18mo,bullish_plus,0pct_strict,True,0.1618652920547041,3.2649124567628087,0.0002,284,221,0.4624227227185338,0.32282475289368573,0.30055743066382967,0.5492957746478874,0.8626760563380281,0.3859025319899818,0.547933851396348,0.08493333002107328,0.24840820763318333,0.0056,0.0009333333333333333,True
6mo,6mo,bullish_plus,0pct_strict,True,0.0929892205914688,4.757298462818714,0.0002,250,207,0.17037889742547258,0.09629467779128564,0.07738967683400376,0.608,0.856,0.13986672302902584,0.20528039430298606,0.06250864665534289,0.12763801573364258,0.0056,0.0009333333333333333,True
6mo,6mo,bullish_plus,1pct_dip,True,0.08568265744659144,5.295966609077538,0.0002,278,222,0.16368134339510368,0.09793291209798216,0.07799868594851223,0.6294964028776978,0.8597122302158273,0.13593443591752866,0.19148569301234522,0.05915055808801934,0.11297194438180128,0.0056,0.0009333333333333333,True
3mo,6mo,very_bullish_only,0pct_strict,True,0.13169483435493756,2.9604619960018277,0.0004,130,99,0.22727570123417806,0.12860042597516297,0.09558086687924053,0.5846153846153846,0.7538461538461538,0.16154595388580814,0.3028271019964445,0.06541699781551875,0.20891739071804588,0.0088,0.00112,False
3mo,6mo,very_bullish_only,1pct_dip,True,0.13169483435493756,2.9604619960018277,0.0004,130,99,0.22727570123417806,0.12860042597516297,0.09558086687924053,0.5846153846153846,0.7538461538461538,0.16154595388580814,0.3028271019964445,0.06541699781551875,0.20891739071804588,0.0088,0.00112,False
3mo,12mo,bullish_plus,1pct_dip,True,0.10407721468048757,3.6087390803097517,0.0004,433,286,0.3142037402067674,0.21504616352952,0.21012652552627986,0.5565819861431871,0.8822170900692841,0.2672055755450359,0.36384407021822585,0.05804882219781569,0.1526394355252707,0.0088,0.00112,True
3mo,12mo,bullish_plus,0pct_strict,True,0.10407721468048757,3.6087390803097517,0.0004,433,286,0.3142037402067674,0.21504616352952,0.21012652552627986,0.5565819861431871,0.8822170900692841,0.2672055755450359,0.36384407021822585,0.05804882219781569,0.1526394355252707,0.0088,0.00112,True
12mo,18mo,bullish_plus,0pct_strict,True,0.5498034646764699,1.3150664454728163,0.0036,18,18,0.8263067595423019,0.30531398131764664,0.2765032948658321,0.6666666666666666,1.0,0.3439608344275924,1.6284361336244524,0.0637545645494472,1.3550116518086732,0.0648,0.009163636363636363,False
6mo,12mo,bullish_plus,1pct_dip,True,0.19017051532050125,2.042666300624965,0.007,151,137,0.36668215646611163,0.17490360331665,0.17651164114561038,0.4966887417218543,0.9072847682119205,0.2314858063968893,0.5286532202164829,0.055409860107110076,0.35272378509600694,0.11900000000000001,0.016333333333333335,False
12mo,12mo,bullish_plus,0pct_strict,True,0.509770006839056,1.9230485879866173,0.0082,26,26,0.7087369324894778,0.2141134169436255,0.1989669256504218,0.5769230769230769,1.0,0.3324699422547815,1.1744276787138803,0.13542595083156847,0.9723575460151569,0.1312,0.017661538461538465,False
6mo,18mo,bullish_plus,1pct_dip,True,0.2433434926305045,2.2746932448946175,0.0148,107,104,0.5377881375126597,0.30440396862902763,0.2944446448821553,0.5233644859813084,0.9158878504672897,0.3769661252871528,0.7323882345159272,0.08095437584180673,0.43799897698607376,0.222,0.029599999999999998,False
12mo,12mo,bullish_plus,1pct_dip,True,0.3872555471190703,1.8862864038751666,0.023,35,35,0.5881358943173061,0.19560657123494418,0.20088034719823586,0.6,0.9714285714285714,0.2701597177787877,0.9218711760061384,0.07249558429692964,0.7148050612626294,0.322,0.04293333333333334,False
12mo,18mo,bullish_plus,1pct_dip,True,0.37541057162600394,1.294237179293378,0.0402,24,24,0.6492708872060908,0.2936336597894832,0.27386031558008683,0.7083333333333334,0.9583333333333334,0.3071287529673242,1.2208390699196943,0.030648240737372733,0.9487862324338577,0.5226,0.07035,False
6mo,12mo,bullish_plus,0pct_strict,True,0.15548459976180434,1.6988214961301575,0.0598,134,124,0.33105813844338544,0.1527895863397769,0.17557353868158113,0.4701492537313433,0.8955223880597015,0.20164990190400633,0.4916269529581258,0.026524012354171057,0.3173694822493594,0.7176,0.09849411764705882,False
6mo,6mo,very_bullish_only,0pct_strict,True,0.251299636260467,1.6578441714549337,0.0836,24,23,0.3403517006854604,0.17469174983287472,0.08905206442499342,0.625,0.7083333333333334,0.11554258347153466,0.6210431343420085,0.03864229763150081,0.5108514748360272,0.9196,0.13004444444444443,False
6mo,6mo,very_bullish_only,1pct_dip,True,0.21217792379980366,1.7190800961494395,0.1064,31,30,0.2979712471277658,0.08160725901493748,0.08579332332796212,0.5483870967741935,0.6774193548387096,0.11196752554594405,0.5231179252404796,0.027670692788214338,0.4321023163562514,1.0,0.15679999999999997,False
6mo,18mo,bullish_plus,0pct_strict,True,0.1361160036345218,1.5333070678172516,0.1452,92,90,0.4270284368914616,0.29583512068453943,0.2909124332569397,0.5,0.9130434782608695,0.2984654620785808,0.5853369991815245,0.007908954772811585,0.2931453648144545,1.0,0.20328,False
12mo,6mo,bullish_plus,0pct_strict,True,0.0576236599496804,0.7828096328321122,0.5462,40,40,0.12667637854614397,0.001052804279895736,0.06905271859646359,0.45,0.525,0.017744146265448416,0.26574454982648926,-0.046171900983108694,0.19116882363502466,1.0,0.6661846153846155,False
6mo,12mo,very_bullish_only,0pct_strict,True,0.10217355003063208,0.5510238937667465,0.58,15,15,0.2941916420244711,0.05286689878536355,0.19201809199383904,0.26666666666666666,0.8,0.005412600215182478,0.6090613145782887,-0.17298279701809832,0.4048942249226128,1.0,0.6661846153846155,False
3mo,18mo,very_bullish_only,0pct_strict,True,0.04565516399650116,0.565139688606884,0.582,74,65,0.3410909977274002,0.24169241789929885,0.29543583373089904,0.4189189189189189,0.7162162162162162,0.2217224741695923,0.4756332662672886,-0.07593566877005392,0.18271254572756013,1.0,0.6661846153846155,False
3mo,18mo,very_bullish_only,1pct_dip,True,0.04565516399650116,0.565139688606884,0.582,74,65,0.3410909977274002,0.24169241789929885,0.29543583373089904,0.4189189189189189,0.7162162162162162,0.2217224741695923,0.4756332662672886,-0.07593566877005392,0.18271254572756013,1.0,0.6661846153846155,False
3mo,12mo,very_bullish_only,0pct_strict,True,0.0362330858977025,0.5045058178894033,0.6186,95,75,0.25287968218972573,0.16520635480814305,0.21664659629202326,0.4421052631578947,0.7157894736842105,0.14644036104083774,0.37356194450414687,-0.07263586030986423,0.15922052738424605,1.0,0.6661846153846155,False
3mo,12mo,very_bullish_only,1pct_dip,True,0.0362330858977025,0.5045058178894033,0.6186,95,75,0.25287968218972573,0.16520635480814305,0.21664659629202326,0.4421052631578947,0.7157894736842105,0.14644036104083774,0.37356194450414687,-0.07263586030986423,0.15922052738424605,1.0,0.6661846153846155,False
12mo,6mo,bullish_plus,1pct_dip,True,0.034352318825480364,0.5638156184487039,0.7296,50,50,0.10823564557892446,0.006689169371383308,0.07388332675344408,0.38,0.52,0.01741582382135464,0.22750880555130867,-0.05259825254069382,0.1459044925882378,1.0,0.7566222222222223,False
